1924,CA,Cab Sauv - Up to - $15.99,2022,Lodi,Bourbon Barrel Aged,Cabernet Sauvignon,$15.00,Silver
1924,CA,Red Blend: Cab Sauv leading blend - Up to - $29.99,2021,California,Whiskey Barrel Aged,Red Blend,$21.00,Silver
94558,CT,Cab Sauv - $60.00 - $69.99,2020,Oak Knoll District,Reserve,Cabernet Sauvignon,$69.99,Silver
95476,CA,Pinot Noir - $24.00 - $28.99,2019,Sonoma Valley,,Pinot Noir,$24.00,Bronze
[ess-eff] wines,CA,Pinot Noir - $40.00 - $46.99,2021,Russian River Valley,Ketcham Vineyard,Pinot Noir,$42.00,Bronze
[ess-eff] wines,CA,Dry Rose (one varietal) - RS 0,2022,Shenandoah Valley,Hannahs Vineyard,Barbera Rose,$24.00,Silver
[ess-eff] wines,CA,Zinfandel - $29.00 - $34.99,2020,Fiddletown,Damas Vineyard,Zinfandel,$30.00,Silver
1/3 WA,CA,Syrah/Shiraz - Up to - $34.99,2022,Columbia Valley,,Syrah,$32.00,Bronze
1/3 WA,CA,Chardonnay - $23.00 - $27.99,2022,Columbia Valley,,Chardonnay,$25.00,Silver
1000 Stories,CA,Pinot Noir - Up to - $17.99,2021,California,,Pinot Noir,$16.99,Silver
1000 Stories,CA,Zinfandel - Up to - $22.99,2021,California,Batch 88,Zinfandel,$16.99,Silver
12EC,CA,Red Blend: Cab Sauv leading blend - $40.00 - $47.99,2020,San Antonio Valley,,Vino Rosso della Domenica,$42.00,Bronze
12EC,CA,Cab Sauv - $36.00 - $39.99,2020,San Antonio Valley,Emilio,Cabernet Sauvignon,$38.00,Silver
174 Winery,CA,Malbec - $39.00 & Over,2018,Chalk Hill,,Malbec,$46.00,Silver
1764 Vineyards,AZ,Dry Rose (one varietal) - RS 0,2022,Willcox,,Cochise Sunset Rose,$28.00,Bronze
1764 Vineyards,AZ,Red Blend: Sangiovese leading blend,2021,Willcox,,Excogitamus,$30.00,Bronze
1764 Vineyards,AZ,Red Blend: Petite Sirah leading blend,2021,Willcox,,8 Years Later,$30.00,Double Gold
1764 Vineyards,AZ,Syrah/Shiraz - $35.00 - $44.99,2021,Willcox,Deep Thought,Syrah,$35.00,Silver
1850 Wine Cellars,CA,Cab Sauv - $36.00 - $39.99,2021,Sierra Foothills,,Cabernet Sauvignon,$39.99,Silver
2156 Estate Vineyard,CA,Chardonnay - $36.00 - $39.99,2022,South Coast,,Chardonnay,$36.00,Bronze
2156 Estate Vineyard,CA,Syrah/Shiraz - $45.00 & Over,2020,South Coast,Estate Grown,Syrah,$52.00,Double Gold
2156 Estate Vineyard,CA,Red Blend: Syrah leading blend - $36.00 and Over,2020,South Coast,,Syrah - Grenache,$52.00,Gold
2156 Estate Vineyard,CA,Tempranillo - $40.00 & Over,2020,South Coast,Estate Grown,Tempranillo,$46.00,Gold
2156 Estate Vineyard,CA,Petite Sirah - $39.00 - $46.99,2020,South Coast,,Petite Sirah,$46.00,Silver
2156 Estate Vineyard,CA,Red Blend: Syrah leading blend - $36.00 and Over,2020,South Coast,,Tricera,$46.00,Silver
3 Steves Winery,CA,Zinfandel - $45.00 - $54.99,2018,Dry Creek Valley,,Zinfandel,$46.00,Double Gold
3 Steves Winery,CA,Cab Franc - $35.00 - $49.99,2019,Cienega Valley,,Cabernet Franc,$44.00,Silver
3 Steves Winery,CA,Chardonnay - $36.00 - $39.99,2022,Livermore Valley,Reserve,Chardonnay,$36.00,Silver
3P Wine Company,CA,Dry Rose (one varietal) - RS .001 - .099,2022,Santa Cruz Mountains,,Rose of Pinot Noir,$26.00,Silver
6th Sense,CA,Syrah/Shiraz - Up to - $34.99,2021,Lodi,,Syrah,$18.00,Double Gold
7 Deadly,CA,Cab Sauv - Up to - $15.99,2020,Lodi,7 Deadly Cab,Cabernet Sauvignon,$15.99,Double Gold
7 Deadly,CA,Red Blend: Zinfandel leading blend - Up to - $24.99,2020,Lodi,,7 Deadly Red,$15.99,Gold
7 Deadly,CA,Zinfandel - Up to - $22.99,2020,Lodi,7 Deadly Zins,Zinfandel,$15.99,Silver
7 Vines Vineyard,MN,Red Blend: Zinfandel leading blend - $25.00 and Over,2021,Lodi,,Reminisce,$49.00,Bronze
7 Vines Vineyard,MN,Red Natives/Hybrid Varietals,2021,Minnesota,,Marquette,$45.00,Bronze
7 Vines Vineyard,MN,Teroldego,2021,Clarksburg,,Teroldego,$36.00,Gold
7 Vines Vineyard,MN,White Native American/Hybrid,2022,Minnesota,,Itasca,$40.00,Gold
7 Vines Vineyard,MN,Malbec - $39.00 & Over,2021,Clarksburg,,Malbec,$40.00,Silver
7 Vines Vineyard,MN,Tannat,2022,Clarksburg,,Tannat,$36.00,Silver
